"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"3566","ERPR / DF","O96008","O96008",1.979465024,1.979465024,0.000418527,0.000381791,210,"O96008","TOMM40","Mitochondrial import receptor subunit TOM40 homolog","TOM40_HUMAN",19,294.346824,3.94346824,"ERPR","DF","nucleoplasm,cytoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial outer membrane translocase complex,integral component of membrane,integral component of mitochondrial outer membrane,pore complex,extracellular exosome","protein transmembrane transporter activity,protein channel activity,porin activity","protein targeting to mitochondrion,ion transport,macroautophagy,protein import into mitochondrial matrix",3.41817431349187,"Red"
"3567","TN / DF","Q8N5I2","Q8N5I2",-1.265377372,1.265377372,0.000456832,0.000382851,56,"Q8N5I2","ARRDC1","Arrestin domain-containing protein 1","ARRD1_HUMAN",4,-58.40094593,0.415990541,"TN","DF","plasma membrane,cytoplasmic vesicle,extracellular exosome","","",3.4169702141991,"Blue"
"3568","TN / DF","Q9UHQ9","Q9UHQ9",0.597831396,0.597831396,0.000456799,0.000382851,294,"Q9UHQ9","CYB5R1","NADH-cytochrome b5 reductase 1","NB5R1_HUMAN",21,51.34399104,1.51343991,"TN","DF","mitochondrion,endoplasmic reticulum membrane,plasma membrane,membrane,integral component of membrane,platelet alpha granule membrane,extracellular exosome","molecular_function,cytochrome-b5 reductase activity, acting on NAD(P)H,FAD binding","platelet degranulation,biological_process,bicarbonate transport,sterol biosynthetic process,oxidation-reduction process,positive regulation of protein targeting to mitochondrion",3.4169702141991,"Red"
"3569","ERPR / DF","P13987","P13987",-1.36210288,1.36210288,0.000420342,0.000383247,70,"P13987","CD59","CD59 glycoprotein","CD59_HUMAN",6,-61.09851537,0.389014846,"ERPR","DF","Golgi membrane,extracellular space,endoplasmic reticulum membrane,plasma membrane,focal adhesion,cell surface,ER to Golgi transport vesicle membrane,membrane,anchored component of external side of plasma membrane,vesicle,endoplasmic reticulum-Golgi intermediate compartment membrane,sarcolemma,compact myelin,extracellular exosome","complement binding","cell activation,negative regulation of activation of membrane attack complex,ER to Golgi vesicle-mediated transport,cell surface receptor signaling pathway,blood coagulation,regulation of complement activation,positive regulation of T cell proliferation,negative regulation of apoptotic process,COPII vesicle coating",3.41652123605231,"Blue"
"3570","TP / DF","Q8WXI7","Q8WXI7",-2.725398,2.725398,0.000326954,0.000383902,28,"Q8WXI7","MUC16","Mucin-16","MUC16_HUMAN",2,-84.87924586,0.151207541,"TP","DF","extracellular space,Golgi lumen,plasma membrane,integral component of membrane,extrinsic component of membrane,vesicle,extracellular exosome","protein binding","cell adhesion,O-glycan processing",3.41577962534886,"Blue"
"3571","Meta / DF","Q92845","Q92845",-3.173456294,3.173456294,0.000368791,0.000386519,98,"Q92845","KIFAP3","Kinesin-associated protein 3","KIFA3_HUMAN",7,-88.91605236,0.110839476,"Meta","DF","condensed nuclear chromosome,endoplasmic reticulum,Golgi apparatus,centrosome,cytosol,axoneme,microtubule cytoskeleton,kinesin II complex,intraciliary transport particle,photoreceptor connecting cilium,ciliary basal body,extracellular exosome,ciliary tip,periciliary membrane compartment,spindle microtubule","protein binding,kinesin binding","protein complex assembly,retrograde vesicle-mediated transport, Golgi to ER,microtubule-based process,microtubule-based movement,signal transduction,protein localization,negative regulation of cell proliferation,antigen processing and presentation of exogenous peptide antigen via MHC class II,negative regulation of apoptotic process,positive regulation of calcium-dependent cell-cell adhesion,plus-end-directed vesicle transport along microtubule",3.41282915273572,"Blue"
"3572","ERPR / DF","P02743","P02743",-1.245436267,1.245436267,0.000424797,0.000386905,168,"P02743","APCS","Serum amyloid P-component","SAMP_HUMAN",14,-57.82196664,0.421780334,"ERPR","DF","extracellular region,extracellular space,nucleus,extracellular exosome,blood microparticle,extracellular matrix","complement component C1q binding,calcium ion binding,carbohydrate binding,virion binding,unfolded protein binding","negative regulation of acute inflammatory response,protein folding,acute-phase response,cellular protein metabolic process,negative regulation by host of viral exo-alpha-sialidase activity,negative regulation by host of viral glycoprotein metabolic process,innate immune response,negative regulation of monocyte differentiation,negative regulation of viral entry into host cell,negative regulation of viral process,chaperone-mediated protein complex assembly,negative regulation of wound healing,negative regulation of exo-alpha-sialidase activity,negative regulation of glycoprotein metabolic process",3.41239565782495,"Blue"
"3573","HER2 / DF","P21926","P21926",1.207188542,1.207188542,0.000467321,0.000389794,70,"P21926","CD9","CD9 antigen","CD9_HUMAN",7,130.8872556,2.308872556,"HER2","DF","extracellular space,plasma membrane,integral component of plasma membrane,focal adhesion,external side of plasma membrane,membrane,apical plasma membrane,endocytic vesicle membrane,clathrin-coated endocytic vesicle membrane,platelet alpha granule membrane,extracellular exosome,extracellular vesicle","integrin binding,protein binding","platelet degranulation,movement of cell or subcellular component,cell adhesion,cell surface receptor signaling pathway,fusion of sperm to egg plasma membrane,brain development,negative regulation of cell proliferation,response to water deprivation,oligodendrocyte development,platelet activation,paranodal junction assembly,receptor internalization,cellular response to low-density lipoprotein particle stimulus",3.40916485015156,"Red"
"3574","ERPR / DF","Q9H201","Q9H201",0.753401176,0.753401176,0.000432216,0.000392268,42,"Q9H201","EPN3","Epsin-3","EPN3_HUMAN",4,68.57623611,1.685762361,"ERPR","DF","nucleus,nucleoplasm,clathrin-coated pit,extrinsic component of plasma membrane,clathrin-coated vesicle,intracellular membrane-bounded organelle,perinuclear region of cytoplasm,extracellular exosome","protein binding,lipid binding,EH domain binding","",3.40641711881479,"Red"
"3575","HER2 / DF","P28907","P28907",-1.497063359,1.497063359,0.000477522,0.00039708,98,"P28907","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","CD38_HUMAN",5,-64.572621,0.35427379,"HER2","DF","nucleus,plasma membrane,cell surface,membrane,integral component of membrane,extracellular exosome","NAD+ nucleosidase activity,transferase activity,phosphorus-oxygen lyase activity,NAD(P)+ nucleosidase activity","response to hypoxia,signal transduction,positive regulation of cytosolic calcium ion concentration,female pregnancy,positive regulation of cell growth,positive regulation of B cell proliferation,positive regulation of insulin secretion,response to estradiol,response to retinoic acid,response to progesterone,response to hydroperoxide,response to drug,negative regulation of apoptotic process,negative regulation of bone resorption,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of vasoconstriction,B cell receptor signaling pathway,long term synaptic depression,response to interleukin-1,apoptotic signaling pathway",3.40112198679252,"Blue"
"3576","Meta / DF","Q9NVH1","Q9NVH1",-3.084993744,3.084993744,0.000381244,0.000398153,266,"Q9NVH1","DNAJC11","DnaJ homolog subfamily C member 11","DJC11_HUMAN",24,-88.2151422,0.117848578,"Meta","DF","mitochondrion,mitochondrial inner membrane,extracellular exosome","","",3.39995000760685,"Blue"
"3577","Meta / DF","P02747","P02747",-3.114239002,3.114239002,0.000382746,0.000399486,84,"P02747","C1QC","Complement C1q subcomponent subunit C","C1QC_HUMAN",7,-88.45163114,0.115483689,"Meta","DF","extracellular region,collagen trimer,extracellular space,extracellular exosome,blood microparticle","serine-type endopeptidase activity","proteolysis,immune response,complement activation,complement activation, classical pathway,negative regulation of granulocyte differentiation,innate immune response,negative regulation of macrophage differentiation",3.3984984359477,"Blue"
"3578","HER2 / DF","Q12907","Q12907",1.913711975,1.913711975,0.000483825,0.000401498,308,"Q12907","LMAN2","Vesicular integral-membrane protein VIP36","LMAN2_HUMAN",20,276.7772807,3.767772807,"HER2","DF","Golgi membrane,extracellular space,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment,Golgi apparatus,integral component of plasma membrane,cell surface,ER to Golgi transport vesicle,endoplasmic reticulum-Golgi intermediate compartment membrane,extracellular exosome","glycoprotein binding,mannose binding,carbohydrate binding,heat shock protein binding,metal ion binding","ER to Golgi vesicle-mediated transport,retrograde vesicle-mediated transport, Golgi to ER,endoplasmic reticulum organization,Golgi organization,protein transport,positive regulation of phagocytosis",3.3963166137505,"Red"
"3579","ERPR / DF","Q13404","Q13404",1.180800566,1.180800566,0.000445712,0.000403464,98,"Q13404","UBE2V1","Ubiquitin-conjugating enzyme E2 variant 1","UB2V1_HUMAN",9,126.7025416,2.267025416,"ERPR","DF","ubiquitin ligase complex,nucleus,cytoplasm,cytosol,ubiquitin conjugating enzyme complex,UBC13-UEV1A complex,protein complex,extracellular exosome","protein binding,ubiquitin protein ligase binding,ubiquitin protein ligase activity","protein polyubiquitination,stimulatory C-type lectin receptor signaling pathway,regulation of DNA repair,postreplication repair,regulation of transcription, DNA-templated,cell differentiation,Fc-epsilon receptor signaling pathway,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of transcription, DNA-templated,T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,nucleotide-binding oligomerization domain containing signaling pathway,protein K63-linked ubiquitination",3.39419521013359,"Red"
"3580","HER2 / DF","Q96C23","Q96C23",1.420306231,1.420306231,0.000489074,0.00040544,154,"Q96C23","GALM","Aldose 1-epimerase","GALM_HUMAN",17,167.6423154,2.676423154,"HER2","DF","cytoplasm,extracellular exosome","aldose 1-epimerase activity,carbohydrate binding","glucose metabolic process,galactose metabolic process,galactose catabolic process via UDP-galactose",3.39207340679665,"Red"
"3581","Meta / DF","P80188","P80188",1.369778284,1.369778284,0.000390368,0.000405524,182,"P80188","LCN2","Neutrophil gelatinase-associated lipocalin","NGAL_HUMAN",14,158.430847,2.58430847,"Meta","DF","extracellular region,extracellular space,cell,extracellular exosome","transporter activity,iron ion binding,small molecule binding","ion transport,cellular iron ion homeostasis,apoptotic process,siderophore transport,innate immune response",3.39198343797779,"Red"
"3582","TP / DF","Q10472","Q10472",-3.558549995,3.558549995,0.000348502,0.000406973,98,"Q10472","GALNT1","Polypeptide N-acetylgalactosaminyltransferase 1","GALT1_HUMAN",13,-91.51269693,0.084873031,"TP","DF","Golgi membrane,extracellular region,endoplasmic reticulum membrane,membrane,integral component of membrane,Golgi cisterna membrane,perinuclear region of cytoplasm,Golgi apparatus","polypeptide N-acetylgalactosaminyltransferase activity,manganese ion binding,carbohydrate binding","protein O-linked glycosylation,O-glycan processing,protein O-linked glycosylation via serine,protein O-linked glycosylation via threonine",3.3904344024209,"Blue"
"3583","HER2 / DF","P07738","P07738",-1.524931415,1.524931415,0.000492965,0.000408249,126,"P07738","BPGM","Bisphosphoglycerate mutase","PMGE_HUMAN",10,-65.25039256,0.347496074,"HER2","DF","cytosol,extracellular exosome","bisphosphoglycerate mutase activity,hydrolase activity,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity","carbohydrate metabolic process,glucose metabolic process,gluconeogenesis,glycolytic process,respiratory gaseous exchange,regulation of pentose-phosphate shunt,erythrocyte development",3.38907487038802,"Blue"
"3584","HER2 / DF","Q96FW1","Q96FW1",1.445995016,1.445995016,0.000493805,0.000408736,280,"Q96FW1","OTUB1","Ubiquitin thioesterase OTUB1","OTUB1_HUMAN",13,172.4506657,2.724506657,"HER2","DF","nucleus,cytoplasm,extracellular exosome","thiol-dependent ubiquitin-specific protease activity,protein binding,NEDD8-specific protease activity,ubiquitin protein ligase binding,ubiquitin binding","adaptive immune response,DNA repair,cellular response to DNA damage stimulus,protein K48-linked deubiquitination,cellular response to interleukin-1,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",3.38855710950444,"Red"
"3585","Meta / DF","Q13938","Q13938",3.112559064,3.112559064,0.000394481,0.000408834,98,"Q13938","CAPS","Calcyphosin","CAYP1_HUMAN",8,764.9154231,8.649154231,"Meta","DF","nucleus,cytoplasm,plasma membrane,vesicle,extracellular exosome","calcium ion binding","intracellular signal transduction",3.38845299399279,"Red"
"3586","HER2 / DF","O00115","O00115",1.52548495,1.52548495,0.000494662,0.000409236,84,"O00115","DNASE2","Deoxyribonuclease-2-alpha","DNS2A_HUMAN",6,187.8834695,2.878834695,"HER2","DF","lysosome,extracellular exosome","DNA binding,deoxyribonuclease II activity","DNA metabolic process,apoptotic DNA fragmentation,erythrocyte differentiation",3.38802616891479,"Red"
"3587","Meta / DF","Q9BV40","Q9BV40",0.58272314,0.58272314,0.000395819,0.00040998,84,"Q9BV40","VAMP8","Vesicle-associated membrane protein 8","VAMP8_HUMAN",6,49.76734963,1.497673496,"Meta","DF","cytoplasm,lysosomal membrane,early endosome,cytosol,plasma membrane,membrane,integral component of membrane,secretory granule membrane,SNARE complex,early endosome membrane,late endosome membrane,vesicle,azurophil granule membrane,perinuclear region of cytoplasm,recycling endosome,extracellular exosome,mucin granule","SNARE binding,SNAP receptor activity,protein binding,chloride channel inhibitor activity","post-Golgi vesicle-mediated transport,vesicle fusion,protein transport,viral entry into host cell,mucus secretion,autophagosome maturation,regulation of protein localization to plasma membrane,negative regulation of secretion by cell,positive regulation of histamine secretion by mast cell,eosinophil degranulation,neutrophil degranulation",3.38723732889367,"Red"
"3588","TP / DF","Q00325","Q00325",1.335518346,1.335518346,0.000353686,0.000411779,252,"Q00325","SLC25A3","Phosphate carrier protein, mitochondrial","MPCP_HUMAN",23,152.3661381,2.523661381,"TP","DF","nucleus,nucleolus,mitochondrion,mitochondrial inner membrane,integral component of plasma membrane,membrane,myelin sheath,extracellular exosome","symporter activity,phosphate ion carrier activity,protein complex binding","generation of precursor metabolites and energy,transport,phosphate ion transmembrane transport",3.38533580540296,"Red"
"3589","Meta / DF","Q15257","Q15257",0.886228748,0.886228748,0.000399042,0.000412834,182,"Q15257","PPP2R4","Serine/threonine-protein phosphatase 2A activator","PTPA_HUMAN",16,84.83381871,1.848338187,"Meta","DF","protein phosphatase type 2A complex,nucleus,nucleoplasm,cytoplasm,calcium channel complex,extracellular exosome","peptidyl-prolyl cis-trans isomerase activity,receptor binding,ATP binding,protein tyrosine phosphatase activator activity,protein phosphatase type 2A regulator activity,protein homodimerization activity,protein heterodimerization activity,protein phosphatase 2A binding,ATPase activity","protein peptidyl-prolyl isomerization,mitotic spindle organization in nucleus,negative regulation of phosphoprotein phosphatase activity,positive regulation of phosphoprotein phosphatase activity,regulation of protein phosphatase type 2A activity,positive regulation of protein dephosphorylation,negative regulation of protein dephosphorylation,positive regulation of apoptotic process,regulation of phosphoprotein phosphatase activity",3.38422454247503,"Red"
"3590","ERPR / DF","O14773","O14773",0.917556355,0.917556355,0.00045778,0.000412853,224,"O14773","TPP1","Tripeptidyl-peptidase 1","TPP1_HUMAN",15,88.89131305,1.88891313,"ERPR","DF","mitochondrion,lysosome,melanosome,lysosomal lumen,extracellular exosome","endopeptidase activity,serine-type endopeptidase activity,protein binding,peptidase activity,serine-type peptidase activity,tripeptidyl-peptidase activity,peptide binding,metal ion binding","proteolysis,lipid metabolic process,lysosome organization,nervous system development,central nervous system development,protein catabolic process,epithelial cell differentiation,IRE1-mediated unfolded protein response,peptide catabolic process,bone resorption,neuromuscular process controlling balance",3.38420455525188,"Red"
"3591","HER2 / DF","Q96G03","Q96G03",1.098667924,1.098667924,0.00050075,0.00041322,574,"Q96G03","PGM2","Phosphoglucomutase-2","PGM2_HUMAN",35,114.1568648,2.141568648,"HER2","DF","cytosol,extracellular exosome","magnesium ion binding,phosphoglucomutase activity,phosphopentomutase activity","glycogen biosynthetic process,glycogen catabolic process,glucose metabolic process,pentose-phosphate shunt,galactose catabolic process,deoxyribose phosphate catabolic process",3.38381866663104,"Red"
"3592","TP / DF","Q92747","Q92747",-0.673350509,0.673350509,0.000356286,0.000414369,238,"Q92747","ARPC1A","Actin-related protein 2/3 complex subunit 1A","ARC1A_HUMAN",21,-37.29512605,0.627048739,"TP","DF","cytosol,Arp2/3 protein complex,actin cytoskeleton,muscle cell projection membrane,extracellular exosome","actin binding,actin filament binding","actin cytoskeleton organization,Arp2/3 complex-mediated actin nucleation,Fc-gamma receptor signaling pathway involved in phagocytosis,ephrin receptor signaling pathway",3.38261274272357,"Blue"
"3593","TP / DF","Q01518","Q01518",1.213347437,1.213347437,0.000359011,0.000417063,728,"Q01518","CAP1","Adenylyl cyclase-associated protein 1","CAP1_HUMAN",52,131.875025,2.31875025,"TP","DF","plasma membrane,focal adhesion,cortical actin cytoskeleton,extracellular exosome","actin binding,adenylate cyclase binding","cell morphogenesis,ameboidal-type cell migration,receptor-mediated endocytosis,establishment or maintenance of cell polarity,signal transduction,activation of adenylate cyclase activity,actin polymerization or depolymerization",3.37979833714671,"Red"
"3594","HER2 / DF","P11233","P11233",-0.980459467,0.980459467,0.000509269,0.000419398,84,"P11233","RALA","Ras-related protein Ral-A","RALA_HUMAN",5,-49.31816965,0.506818304,"HER2","DF","plasma membrane,focal adhesion,cell surface,midbody,cytoplasmic vesicle membrane,cleavage furrow,myelin sheath,extracellular exosome,endocytic vesicle","GTPase activity,protein binding,GTP binding,myosin binding,GDP binding,ubiquitin protein ligase binding,Edg-2 lysophosphatidic acid receptor binding,ATPase binding","cytokinesis,neural tube closure,exocytosis,chemotaxis,signal transduction,Ras protein signal transduction,viral process,regulation of exocytosis,actin cytoskeleton reorganization,positive regulation of filopodium assembly,membrane raft localization,membrane organization",3.37737364490319,"Blue"
"3595","TP / DF","Q14435","Q14435",-2.307588566,2.307588566,0.000361411,0.000419506,112,"Q14435","GALNT3","Polypeptide N-acetylgalactosaminyltransferase 3","GALT3_HUMAN",14,-79.80022072,0.201997793,"TP","DF","Golgi membrane,Golgi apparatus,membrane,integral component of membrane,Golgi cisterna membrane,perinuclear region of cytoplasm,extracellular exosome","polypeptide N-acetylgalactosaminyltransferase activity,calcium ion binding,manganese ion binding,carbohydrate binding","carbohydrate metabolic process,fibroblast growth factor receptor signaling pathway,O-glycan processing,protein O-linked glycosylation via serine,protein O-linked glycosylation via threonine",3.37726182327805,"Blue"
"3596","TP / DF","P60981","P60981",0.863185186,0.863185186,0.00036288,0.000420959,266,"P60981","DSTN","Destrin","DEST_HUMAN",22,81.90499835,1.819049983,"TP","DF","actin cytoskeleton,cortical actin cytoskeleton,extracellular exosome","protein binding,actin filament binding","actin polymerization or depolymerization,actin filament depolymerization,positive regulation of actin filament depolymerization,actin filament severing",3.37576020093596,"Red"
"3597","Meta / DF","P12259","P12259",-2.797389332,2.797389332,0.000409636,0.00042231,182,"P12259","F5","Coagulation factor V","FA5_HUMAN",40,-85.61526381,0.143847362,"Meta","DF","Golgi membrane,extracellular region,extracellular space,endoplasmic reticulum lumen,plasma membrane,membrane,ER to Golgi transport vesicle,platelet alpha granule lumen,endoplasmic reticulum-Golgi intermediate compartment membrane,extracellular vesicle","serine-type endopeptidase activity,copper ion binding,protein binding","platelet degranulation,proteolysis,ER to Golgi vesicle-mediated transport,blood coagulation,blood circulation,platelet activation,COPII vesicle coating",3.37436863466934,"Blue"
"3598","ERPR / DF","P13591","P13591",-2.801691983,2.801691983,0.000469505,0.000422554,84,"P13591","NCAM1","Neural cell adhesion molecule 1","NCAM1_HUMAN",17,-85.65810051,0.143418995,"ERPR","DF","Golgi membrane,cytoplasm,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,anchored component of membrane,extracellular exosome","virus receptor activity,Ras guanyl-nucleotide exchange factor activity","MAPK cascade,cell adhesion,axon guidance,positive regulation of GTPase activity,viral entry into host cell,regulation of synaptic plasticity,interferon-gamma-mediated signaling pathway",3.3741177828008,"Blue"
"3599","HER2 / DF","P62263","P62263",0.87829172,0.87829172,0.000516227,0.000424482,280,"P62263","RPS14","40S ribosomal protein S14","RS14_HUMAN",14,83.81974225,1.838197423,"HER2","DF","nucleoplasm,nucleolus,cytoplasm,mitochondrion,cytosol,focal adhesion,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome","RNA binding,structural constituent of ribosome,protein binding,poly(A) RNA binding,translation regulator activity,mRNA 5'-UTR binding,small ribosomal subunit rRNA binding","ribosomal small subunit assembly,negative regulation of transcription from RNA polymerase II promoter,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),rRNA processing,translation,translational initiation,regulation of translation,SRP-dependent cotranslational protein targeting to membrane,viral transcription,erythrocyte differentiation,maturation of SSU-rRNA",3.37214072112419,"Red"
"3600","HER2 / DF","P0C0L5","P0C0L5",0.654311237,0.654311237,0.000517345,0.000425186,140,"P0C0L5","C4B","Complement C4-B","CO4B_HUMAN",6,57.38643889,1.573864389,"HER2","DF","extracellular region,extracellular space,plasma membrane,cell junction,axon,dendrite,other organism cell,synapse,extracellular exosome,blood microparticle","complement binding,serine-type endopeptidase activity,endopeptidase inhibitor activity,carbohydrate binding","proteolysis,inflammatory response,complement activation,complement activation, classical pathway,opsonization,negative regulation of endopeptidase activity,regulation of complement activation,detection of molecule of bacterial origin,innate immune response,positive regulation of apoptotic cell clearance",3.37142104382617,"Red"
"3601","ERPR / DF","P16083","P16083",-1.404832406,1.404832406,0.000473653,0.000425848,126,"P16083","NQO2","Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2_HUMAN",15,-62.23379841,0.377662016,"ERPR","DF","nucleoplasm,cytoplasm,extracellular exosome","NADPH dehydrogenase (quinone) activity,electron carrier activity,metal ion binding","memory,positive regulation of neuron apoptotic process,oxidation-reduction process,positive regulation of ERK1 and ERK2 cascade,positive regulation of vascular smooth muscle cell proliferation,positive regulation of reactive oxygen species metabolic process",3.37074538808267,"Blue"
"3602","ERPR / DF","P15169","P15169",1.436256445,1.436256445,0.000475587,0.000427368,154,"P15169","CPN1","Carboxypeptidase N catalytic chain","CBPN_HUMAN",12,170.6177454,2.706177454,"ERPR","DF","extracellular space","metallocarboxypeptidase activity,serine-type carboxypeptidase activity,zinc ion binding","peptide metabolic process,bradykinin catabolic process,protein processing,response to glucocorticoid",3.3691979995882,"Red"
"3603","TP / DF","P36578","P36578",0.712282916,0.712282916,0.000369501,0.00042761,448,"P36578","RPL4","60S ribosomal protein L4","RL4_HUMAN",42,63.8394657,1.638394657,"TP","DF","nucleus,nucleolus,cytoplasm,cytosol,focal adhesion,membrane,cytosolic large ribosomal subunit,intracellular ribonucleoprotein complex,extracellular exosome","RNA binding,structural constituent of ribosome,protein binding,poly(A) RNA binding","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,rRNA processing,translation,translational initiation,SRP-dependent cotranslational protein targeting to membrane,viral transcription",3.36895214702257,"Red"
"3604","ERPR / DF","P28676","P28676",1.195667586,1.195667586,0.000482661,0.000433056,112,"P28676","GCA","Grancalcin","GRAN_HUMAN",11,129.0507975,2.290507975,"ERPR","DF","cytoplasm,plasma membrane,extracellular exosome","calcium-dependent cysteine-type endopeptidase activity,calcium ion binding,protein binding,protein homodimerization activity,protein heterodimerization activity","proteolysis,membrane fusion",3.36345593986272,"Red"
"3605","TP / DF","O43324","O43324",1.697014842,1.697014842,0.000376274,0.000434665,154,"O43324","EEF1E1","Eukaryotic translation elongation factor 1 epsilon-1","MCA3_HUMAN",12,224.2293836,3.242293836,"TP","DF","nucleus,cytoplasm,cytosol,extracellular exosome","translation elongation factor activity,glutathione transferase activity","translational elongation,tRNA aminoacylation for protein translation,glutathione metabolic process,negative regulation of cell proliferation,positive regulation of apoptotic process,positive regulation of DNA damage response, signal transduction by p53 class mediator,positive regulation of cellular senescence",3.36184532856653,"Red"
"3606","TN / DF","Q02083","Q02083",-3.582900166,3.582900166,0.00052447,0.000435131,112,"Q02083","NAAA","N-acylethanolamine-hydrolyzing acid amidase","NAAA_HUMAN",9,-91.65474564,0.083452544,"TN","DF","cytoplasm,lysosomal lumen,extracellular exosome,presynapse","transcription factor binding,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","lipid metabolic process,neurotransmitter secretion,biological_process",3.36137997520107,"Blue"
"3607","Meta / DF","P35270","P35270",0.727444302,0.727444302,0.000423776,0.000436124,266,"P35270","SPR","Sepiapterin reductase","SPRE_HUMAN",18,65.57034546,1.655703455,"Meta","DF","nucleoplasm,cytoplasm,cytosol,extracellular exosome","aldo-keto reductase (NADP) activity,sepiapterin reductase activity,NADP binding","tetrahydrobiopterin biosynthetic process,nitric oxide biosynthetic process,regulation of nitric-oxide synthase activity,oxidation-reduction process",3.36039001334774,"Red"
"3608","Meta / DF","P61981","P61981",0.664831055,0.664831055,0.000425343,0.000437482,238,"P61981","YWHAG","14-3-3 protein gamma","1433G_HUMAN",22,58.53826083,1.585382608,"Meta","DF","mitochondrion,cytosol,focal adhesion,membrane,cytoplasmic vesicle membrane,myelin sheath,extracellular exosome","protein kinase C binding,insulin-like growth factor receptor binding,protein binding,protein kinase C inhibitor activity,protein domain specific binding,receptor tyrosine kinase binding,poly(A) RNA binding","G2/M transition of mitotic cell cycle,negative regulation of protein kinase activity,protein targeting,regulation of signal transduction,cellular response to insulin stimulus,regulation of neuron differentiation,regulation of synaptic plasticity,membrane organization,negative regulation of protein serine/threonine kinase activity,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway",3.35903981112508,"Red"
"3609","TN / DF","P00746","P00746",-1.330641547,1.330641547,0.0005291,0.000438314,140,"P00746","CFD","Complement factor D","CFAD_HUMAN",11,-60.2408601,0.397591399,"TN","DF","extracellular region,extracellular space,platelet alpha granule lumen,extracellular exosome","serine-type endopeptidase activity,serine-type peptidase activity","platelet degranulation,proteolysis,complement activation,complement activation, alternative pathway",3.35821465751021,"Blue"
"3610","TN / DF","P05067","P05067",0.746027003,0.746027003,0.000529913,0.000438467,266,"P05067","APP","Amyloid beta A4 protein","A4_HUMAN",21,67.71677606,1.677167761,"TN","DF","extracellular region,extracellular space,nuclear envelope lumen,cytoplasm,endosome,smooth endoplasmic reticulum,rough endoplasmic reticulum,Golgi apparatus,cytosol,plasma membrane,integral component of plasma membrane,clathrin-coated pit,cell-cell junction,cell surface,integral component of membrane,ER to Golgi transport vesicle,axon,platelet alpha granule lumen,neuromuscular junction,endosome lumen,trans-Golgi network membrane,ciliary rootlet,terminal bouton,dendritic spine,dendritic shaft,intracellular membrane-bounded organelle,receptor complex,main axon,membrane raft,apical part of cell,synapse,perinuclear region of cytoplasm,spindle midzone,extracellular exosome,astrocyte projection,growth cone lamellipodium,growth cone filopodium","DNA binding,serine-type endopeptidase inhibitor activity,receptor binding,protein binding,heparin binding,peptidase activator activity,enzyme binding,identical protein binding,transition metal ion binding,PTB domain binding,growth factor receptor binding","response to yeast,suckling behavior,platelet degranulation,mRNA polyadenylation,regulation of translation,protein phosphorylation,cellular copper ion homeostasis,endocytosis,response to oxidative stress,cell adhesion,regulation of epidermal growth factor-activated receptor activity,Notch signaling pathway,axonogenesis,mating behavior,locomotory behavior,axo-dendritic transport,cholesterol metabolic process,adult locomotory behavior,visual learning,cellular process,response to lead ion,negative regulation of endopeptidase activity,positive regulation of peptidase activity,positive regulation of G2/M transition of mitotic cell cycle,axon midline choice point recognition,neuron remodeling,dendrite development,antibacterial humoral response,antifungal humoral response,extracellular matrix organization,forebrain development,neuron projection development,ionotropic glutamate receptor signaling pathway,regulation of multicellular organism growth,regulation of protein binding,cellular protein metabolic process,innate immune response,negative regulation of neuron differentiation,positive regulation of mitotic cell cycle,positive regulation of transcription from RNA polymerase II promoter,collateral sprouting in absence of injury,regulation of synapse structure or activity,defense response to Gram-negative bacterium,defense response to Gram-positive bacterium,neuromuscular process controlling balance,synaptic growth at neuromuscular junction,neuron apoptotic process,smooth endoplasmic reticulum calcium ion homeostasis,cellular response to cAMP,cellular response to norepinephrine stimulus,amyloid fibril formation,cellular response to nerve growth factor stimulus",3.35806308703502,"Red"
